,id,Date,mood,arousal,valence,activity,screentime (s),other (s),travel (s),weather (s),buu,coso,enga,fiof,teca
810,AS14.23,2014-04-18,7.6,0.4,1.0,0.38146043771043775,7498.4950013160715,170.24699999999999,6.017,,703.402,4671.152999999999,294.24499999999995,1189.424,2.0
811,AS14.23,2014-04-19,7.75,0.0,1.0,0.34415584415584416,2376.0099997520447,134.006,,,384.073,1734.427,138.671,,
812,AS14.23,2014-04-20,7.75,0.5,1.0,0.5494297847746124,6345.535001039504,340.618,,,1486.9190000000003,3212.09,1304.318,,1.0
813,AS14.23,2014-04-21,7.2,-0.4,1.0,0.4115224636722278,7331.516999483107,187.41699999999997,,,112.90299999999999,6169.548000000001,598.668,,
814,AS14.23,2014-04-22,6.2,0.2,0.4,0.3946185566427017,20183.262001037598,141.531,126.30399999999999,,3669.071,8620.654000000006,684.402,1835.055,3.0
815,AS14.23,2014-04-23,7.0,0.0,1.0,0.23719301375968627,9881.775000333786,698.304,5.013,,3739.1169999999997,2822.6030000000005,772.704,1719.609,2.0
816,AS14.23,2014-04-24,7.4,0.0,1.0,0.4980656877942016,11942.834001302723,375.986,70.298,,768.407,8525.456999999999,97.273,2236.9820000000004,2.0
817,AS14.23,2014-04-25,7.8,-0.2,1.2,0.382158008243327,11193.504001379011,95.531,,,2756.749,6633.0650000000005,39.42,1611.6750000000006,1.0
818,AS14.23,2014-04-26,7.5,-0.5,1.0,0.4048643023643024,6491.557001829148,31.127000000000002,122.555,,815.2700000000002,5094.14,423.306,4.013,2.0
819,AS14.23,2014-04-27,7.0,-0.2,1.0,0.3673707506660292,12532.979995727537,563.596,54.285,,1910.6009999999997,7978.8609999999935,922.5800000000002,,3.0
820,AS14.23,2014-04-28,7.6,-0.2,1.0,0.37176068118259664,18749.942999124527,2186.399,93.502,,1225.3829999999998,5379.656000000001,4635.167,5228.516,4.0
821,AS14.23,2014-04-29,7.4,-0.2,1.2,0.3735173556602129,7028.152000427246,114.713,,,800.8349999999999,3626.180000000001,2059.393,,2.0
822,AS14.23,2014-04-30,9.0,-1.0,1.0,0.4425530783321395,10908.680999994274,19.248,,,437.66800000000006,10054.759999999998,679.1220000000001,,2.0
823,AS14.24,2014-04-14,8.0,1.0,1.0,0.034967320261437874,1140.1959996223459,161.569,,,625.107,453.58000000000004,10.026,,7.0
824,AS14.24,2014-04-15,7.6,-0.6,0.75,0.07773658192090395,2460.195999860764,102.02700000000002,78.393,,816.9209999999998,1347.102,,,4.0
825,AS14.24,2014-04-16,7.4,-0.4,0.25,0.0988649887431325,4514.380000114438,76.541,113.59899999999999,,849.887,2857.5870000000004,,,8.0
826,AS14.24,2014-04-17,6.75,-1.5,0.25,0.043800989551545266,5463.269999265672,59.52,,,6162.037000000004,3736.63,,,8.0
827,AS14.24,2014-04-18,7.0,0.4,0.8,0.16215781245608615,7768.733000040056,77.82000000000002,,,3988.296,4054.2060000000006,3.0149999999999997,,17.0
828,AS14.24,2014-04-19,7.25,0.0,1.0,0.030991562056058863,4175.926999330521,40.62,,,567.912,3394.9139999999998,,,2.0
829,AS14.24,2014-04-20,7.8,0.6,0.8,0.10902777777777779,3862.7320001125336,49.857,,,1014.6279999999998,7351.597000000001,,,10.0
830,AS14.24,2014-04-21,7.5,0.5,1.0,0.015672892720306503,3926.053998947146,31.639,,,477.61299999999994,3136.845,,,
831,AS14.24,2014-04-22,7.2,0.4,0.8,0.07665932952304443,3076.0670008659367,48.204,,,943.0360000000004,2047.4039999999995,92.41900000000001,,3.0
832,AS14.24,2014-04-23,7.5,-0.25,1.0,0.03835321484915803,1905.5060000419628,45.045,,,469.9,1344.098,,,3.0
833,AS14.24,2014-04-24,6.8,-0.25,0.5,0.05378853649950596,6371.679999589922,47.369,,,1376.27,4347.604,,,11.0
834,AS14.24,2014-04-25,6.2,0.2,0.25,0.0664568248362065,2518.2940008640294,63.941,58.276,,1155.6289999999997,1071.1879999999999,36.172999999999995,36.117,10.0
835,AS14.24,2014-04-26,7.6,0.8,1.0,0.35133683120286124,1157.1240012645721,56.551,291.59999999999997,,508.75999999999993,296.174,3.221,,10.0
836,AS14.24,2014-04-27,7.0,-1.0,0.75,0.06595235181954971,1103.410999536514,33.69799999999999,,,397.266,1360.1269999999997,,,
837,AS14.24,2014-04-28,6.8,0.4,0.6,0.06401814523536081,6149.630000352859,53.324,,,1682.132,4266.6720000000005,42.321,19.223,6.0
838,AS14.24,2014-04-29,6.0,1.25,0.0,0.05080621402077293,4964.63600063324,46.13100000000001,,,1125.7039999999995,3859.4260000000004,34.18,,6.0
839,AS14.24,2014-04-30,6.333333333333333,0.0,0.6666666666666666,0.15217276531797644,7848.391000509262,30.546,,,2900.6980000000003,3989.9489999999983,161.998,36.37,7.0
840,AS14.24,2014-05-01,7.4,-0.8,1.0,0.11590702540083282,4160.105999946596,49.323,,,1766.575,1547.6039999999998,,,
841,AS14.24,2014-05-02,7.0,-1.0,1.0,0.0742442660108813,2124.8810002803793,51.377,,,682.6090000000005,1113.203,,,
842,AS14.24,2014-05-03,6.833333333333333,-1.0,1.0,0.03880649717514125,3695.9250004291525,52.30200000000001,,,1278.9909999999993,1985.619,4.022,373.503,1.0
843,AS14.24,2014-05-04,7.5,-0.5,1.0,0.11647554395081124,4252.372000455855,41.382000000000005,,,4420.381999999999,1794.1049999999998,,51.785999999999994,
844,AS14.24,2014-05-05,6.0,-0.6666666666666666,0.3333333333333333,0.09047478797787512,3596.7060000896445,36.501,,,627.0720000000001,2866.261,,,
845,AS14.24,2014-05-07,7.0,1.0,0.75,0.0135513811833725,5929.435001611705,81.05900000000001,,,1147.4850000000006,3298.7519999999995,,,
846,AS14.24,2014-05-08,7.0,0.3333333333333333,1.0,0.09184726802498487,3935.6690013408675,43.482000000000006,34.144999999999996,,1463.6039999999996,1920.0779999999997,473.57900000000006,,3.0
847,AS14.24,2014-05-09,7.4,-1.0,1.0,0.08377318187886475,3467.6779999732967,94.82999999999998,,,870.4569999999998,2293.4620000000004,,208.11399999999998,2.0
848,AS14.24,2014-05-10,7.0,-0.3333333333333333,,0.09069993851199021,7138.256998777392,25.385,,,5426.545999999999,5056.369,37.429,,7.0
849,AS14.24,2014-05-11,7.25,-1.0,1.0,0.04532817794004062,2923.716998815535,48.337999999999994,,,2505.2550000000006,1653.5170000000005,,,2.0
850,AS14.24,2014-05-12,7.0,-0.8,0.6,0.0939778741437274,10976.620000362389,54.340999999999994,,,2287.9670000000006,5774.924,383.575,150.02700000000002,1.0
851,AS14.24,2014-05-13,7.5,-0.25,0.75,0.05427813780879583,5407.47499895096,48.437,,,1656.4250000000002,3356.6269999999995,125.265,14.125,2.0
852,AS14.24,2014-05-14,5.2,-1.0,-0.4,0.06217174433151498,6067.96900010109,62.052,23.2,,2669.65,3773.6460000000006,141.609,,8.0
853,AS14.24,2014-05-15,6.4,0.2,0.4,0.05449630453369234,8698.70900130272,69.465,,,2112.834,5735.398,,39.219,13.0
854,AS14.24,2014-05-16,7.0,0.0,1.0,0.021811648278146994,4695.734002113342,46.41199999999999,,,722.0539999999999,2315.0919999999996,,,3.0
855,AS14.24,2014-05-17,7.6,-0.4,1.0,0.030052303407238617,5039.252000570299,44.292,,,2333.173,3682.980000000002,,,1.0
856,AS14.24,2014-05-18,7.2,-0.2,0.6,0.026736111111111096,5945.0240008831015,57.46600000000001,,,1312.8509999999997,4253.918000000001,11.897,,6.0
857,AS14.24,2014-05-19,7.4,0.25,0.75,0.007986111111111114,2916.736999988555,65.623,,,557.235,2280.5660000000003,12.04,,2.0
858,AS14.24,2014-05-20,7.0,0.0,1.0,0.04450887793133785,2971.6399996280675,31.353,,,1065.035,1853.964,,,6.0
859,AS14.24,2014-05-21,6.2,0.2,0.4,0.0510416666666667,2280.1799991130824,72.87099999999998,,,931.4729999999998,1266.3779999999997,8.402000000000001,,2.0
860,AS14.24,2014-05-22,6.6,0.6,0.8,0.04213643790849669,2992.2909994125357,73.486,,,876.1449999999999,2220.657,,,3.0
861,AS14.24,2014-05-23,6.8,-0.2,0.6,0.011229669507959656,3744.269999742504,50.345,,,891.9450000000004,2025.3649999999998,95.77799999999999,,1.0
