Date;mood
30-03-14;7.5
30-03-14;7
30-03-14;8.4
30-03-14;6.2
30-03-14;7.8
30-03-14;6.2
30-03-14;6.8
30-03-14;7.75
30-03-14;5.8
30-03-14;6.2
30-03-14;6.5
30-03-14;7.4
30-03-14;5.4
30-03-14;8
30-03-14;7
30-03-14;7.5
30-03-14;7
30-03-14;7.2
30-03-14;7.6
31-03-14;7.4
31-03-14;7.2
31-03-14;7.4
31-03-14;6.8
31-03-14;7
31-03-14;433.333.333.333.333
31-03-14;7.6
31-03-14;7
31-03-14;6.4
31-03-14;7
31-03-14;6.75
31-03-14;7.2
31-03-14;6
31-03-14;7.25
31-03-14;7.2
31-03-14;7
31-03-14;7.5
31-03-14;7
31-03-14;6.5
31-03-14;7.6
01-04-14;6
01-04-14;7.4
01-04-14;7.6
01-04-14;7
01-04-14;7.75
01-04-14;6.6
01-04-14;7.2
01-04-14;7.6
01-04-14;6.4
01-04-14;7.5
01-04-14;6.2
01-04-14;7.2
01-04-14;5.8
01-04-14;7.4
01-04-14;6.4
01-04-14;6.25
01-04-14;7.5
01-04-14;6.6
01-04-14;7.5
01-04-14;7.8
01-04-14;8
02-04-14;6.5
02-04-14;6.4
02-04-14;7.4
02-04-14;7
02-04-14;6.8
02-04-14;5.5
02-04-14;6.6
02-04-14;6.2
02-04-14;6
02-04-14;7.4
02-04-14;7
02-04-14;7.2
02-04-14;6.4
02-04-14;7.5
02-04-14;7.6
02-04-14;6.5
02-04-14;7
02-04-14;6.4
02-04-14;6.8
02-04-14;8.5
02-04-14;7.6
02-04-14;666.666.666.666.667
02-04-14;7
03-04-14;6.4
03-04-14;5.75
03-04-14;7.8
03-04-14;7.2
03-04-14;7.2
03-04-14;6.2
03-04-14;7
03-04-14;7.6
03-04-14;5.4
03-04-14;7.6
03-04-14;733.333.333.333.333
03-04-14;7.2
03-04-14;6.25
03-04-14;7.2
03-04-14;6.6
03-04-14;666.666.666.666.667
03-04-14;7
03-04-14;6.8
03-04-14;7.4
03-04-14;8
03-04-14;7.25
03-04-14;8
03-04-14;6.6
03-04-14;8
04-04-14;6.2
04-04-14;6.4
04-04-14;7.8
04-04-14;7
04-04-14;7
04-04-14;6.5
04-04-14;7.5
04-04-14;7.25
04-04-14;6.5
04-04-14;7.8
04-04-14;7.5
04-04-14;7.2
04-04-14;6.2
04-04-14;7
04-04-14;7
04-04-14;7
04-04-14;7
04-04-14;6.75
04-04-14;7
04-04-14;5.75
04-04-14;8
04-04-14;7.8
04-04-14;6.8
04-04-14;8
05-04-14;6.8
05-04-14;7.4
05-04-14;7.6
05-04-14;7.5
05-04-14;7
05-04-14;6
05-04-14;7.4
05-04-14;7.5
05-04-14;6.2
05-04-14;6.8
05-04-14;7.4
05-04-14;7.8
05-04-14;7
05-04-14;7
05-04-14;8
05-04-14;7
05-04-14;6.5
05-04-14;8
05-04-14;7.4
05-04-14;7.6
05-04-14;8.2
05-04-14;8
05-04-14;7.4
05-04-14;8.4
06-04-14;6.5
06-04-14;4.5
06-04-14;6.8
06-04-14;6.8
06-04-14;7
06-04-14;6.75
06-04-14;7.6
06-04-14;6.8
06-04-14;6.25
06-04-14;6.25
06-04-14;7.4
06-04-14;6.2
06-04-14;6.75
06-04-14;7.25
06-04-14;7.25
06-04-14;7
06-04-14;7
06-04-14;6.75
06-04-14;7
06-04-14;7.2
06-04-14;7.75
06-04-14;8
06-04-14;6.6
06-04-14;7.6
07-04-14;6.5
07-04-14;6.8
07-04-14;7.4
07-04-14;6.75
07-04-14;6.2
07-04-14;5.4
07-04-14;7
07-04-14;6.2
07-04-14;6.4
07-04-14;7.4
07-04-14;7
07-04-14;6.8
07-04-14;7
07-04-14;7
07-04-14;6.6
07-04-14;6.8
07-04-14;5.75
07-04-14;6.75
07-04-14;7.6
07-04-14;8
07-04-14;7.2
07-04-14;7.6
07-04-14;6.6
07-04-14;7
08-04-14;6.6
08-04-14;6.25
08-04-14;7.4
08-04-14;6.75
08-04-14;6.6
08-04-14;6.8
08-04-14;6.5
08-04-14;7.2
08-04-14;6.25
08-04-14;8.2
08-04-14;6.8
08-04-14;6.8
08-04-14;6.4
08-04-14;7
08-04-14;6.8
08-04-14;7.25
08-04-14;6.6
08-04-14;8
08-04-14;6.4
08-04-14;7.6
08-04-14;7.8
08-04-14;7.8
08-04-14;7.8
08-04-14;7
08-04-14;7.8
09-04-14;7.4
09-04-14;7.25
09-04-14;7.8
09-04-14;7
09-04-14;7.4
09-04-14;6.4
09-04-14;6.25
09-04-14;6.5
09-04-14;5.25
09-04-14;7.8
09-04-14;8
09-04-14;7
09-04-14;7.2
09-04-14;7
09-04-14;7.2
09-04-14;7.75
09-04-14;7.2
09-04-14;7.4
09-04-14;6.4
09-04-14;7
09-04-14;7
09-04-14;7.6
09-04-14;7.75
09-04-14;7
09-04-14;733.333.333.333.333
10-04-14;7.4
10-04-14;7.25
10-04-14;7.4
10-04-14;7.2
10-04-14;7.6
10-04-14;6.2
10-04-14;7.6
10-04-14;6
10-04-14;6.4
10-04-14;7.6
10-04-14;666.666.666.666.667
10-04-14;7.2
10-04-14;6.6
10-04-14;6.75
10-04-14;6.75
10-04-14;7
10-04-14;7
10-04-14;6.5
10-04-14;6.6
10-04-14;7.4
10-04-14;7
10-04-14;8.6
10-04-14;8.2
10-04-14;7.2
10-04-14;8.25
11-04-14;7
11-04-14;6.5
11-04-14;7.6
11-04-14;7
11-04-14;7.8
11-04-14;3.5
11-04-14;7.6
11-04-14;6.8
11-04-14;6.6
11-04-14;6.8
11-04-14;7.75
11-04-14;7
11-04-14;7
11-04-14;7.2
11-04-14;6.8
11-04-14;7.5
11-04-14;7
11-04-14;7.75
11-04-14;6.6
11-04-14;5.8
11-04-14;7.4
11-04-14;7.2
11-04-14;766.666.666.666.667
11-04-14;7.8
11-04-14;766.666.666.666.667
12-04-14;7.25
12-04-14;6
12-04-14;766.666.666.666.667
12-04-14;7
12-04-14;8.2
12-04-14;6.4
12-04-14;7
12-04-14;7
12-04-14;6.8
12-04-14;6.8
12-04-14;7.5
12-04-14;7.4
12-04-14;7
12-04-14;7.2
12-04-14;7.2
12-04-14;6.8
12-04-14;7.75
12-04-14;7
12-04-14;7.75
12-04-14;7
12-04-14;7.8
12-04-14;8.25
12-04-14;7.8
12-04-14;7
12-04-14;8.6
13-04-14;8
13-04-14;7.2
13-04-14;7.4
13-04-14;7.5
13-04-14;6.5
13-04-14;6.5
13-04-14;7.6
13-04-14;6
13-04-14;5.6
13-04-14;6.6
13-04-14;7
13-04-14;6.4
13-04-14;7.2
13-04-14;7.2
13-04-14;6.8
13-04-14;7.2
13-04-14;6.6
13-04-14;7
13-04-14;8.75
13-04-14;7.2
13-04-14;8.2
13-04-14;7.2
13-04-14;6.8
13-04-14;8
14-04-14;7.2
14-04-14;8
14-04-14;7
14-04-14;6.4
14-04-14;7.25
14-04-14;6.2
14-04-14;6.6
14-04-14;5.8
14-04-14;6.6
14-04-14;6.8
14-04-14;7.5
14-04-14;7
14-04-14;7
14-04-14;7
14-04-14;7
14-04-14;6.8
14-04-14;8
14-04-14;6.4
14-04-14;7.4
14-04-14;7.6
14-04-14;6.8
14-04-14;8
14-04-14;7.75
14-04-14;6.2
14-04-14;7.5
15-04-14;6.4
15-04-14;7.25
15-04-14;7.6
15-04-14;7
15-04-14;7
15-04-14;6
15-04-14;6.4
15-04-14;6
15-04-14;6.8
15-04-14;6
15-04-14;6
15-04-14;7
15-04-14;6.6
15-04-14;7
15-04-14;6.4
15-04-14;6.8
15-04-14;7.25
15-04-14;7.6
15-04-14;6.5
15-04-14;6.8
15-04-14;7.2
15-04-14;6.8
15-04-14;8.25
15-04-14;7.6
15-04-14;7
15-04-14;8
16-04-14;7.2
16-04-14;666.666.666.666.667
16-04-14;8
16-04-14;7.2
16-04-14;7.6
16-04-14;4.75
16-04-14;6.6
16-04-14;5.5
16-04-14;7
16-04-14;6
16-04-14;6
16-04-14;7
16-04-14;7.25
16-04-14;7.2
16-04-14;6.8
16-04-14;7.2
16-04-14;7.4
16-04-14;7.4
16-04-14;7.2
16-04-14;6.8
16-04-14;7.8
16-04-14;6.2
16-04-14;7.8
16-04-14;8.4
16-04-14;6.75
16-04-14;8.5
16-04-14;7
17-04-14;6.6
17-04-14;6.5
17-04-14;7.25
17-04-14;6.6
17-04-14;6.8
17-04-14;3.8
17-04-14;6.2
17-04-14;7
17-04-14;6.8
17-04-14;6.4
17-04-14;6.2
17-04-14;6.4
17-04-14;7
17-04-14;7
17-04-14;6.8
17-04-14;6.4
17-04-14;7.4
17-04-14;6.75
17-04-14;6.5
17-04-14;6
17-04-14;7.6
17-04-14;7.8
17-04-14;7.6
17-04-14;7.6
17-04-14;7
17-04-14;8.5
17-04-14;7.2
18-04-14;6.8
18-04-14;6.5
18-04-14;7.5
18-04-14;7.5
18-04-14;6.25
18-04-14;5.2
18-04-14;6
18-04-14;6.6
18-04-14;6.6
18-04-14;3.5
18-04-14;6.5
18-04-14;6
18-04-14;6.8
18-04-14;7
18-04-14;6.8
18-04-14;6.75
18-04-14;7.6
18-04-14;7
18-04-14;6.25
18-04-14;7.2
18-04-14;8.6
18-04-14;5.8
18-04-14;8
18-04-14;7.4
18-04-14;6.8
18-04-14;7
18-04-14;7.4
19-04-14;7.8
19-04-14;566.666.666.666.667
19-04-14;7.8
19-04-14;7.2
19-04-14;6.8
19-04-14;7
19-04-14;7.8
19-04-14;8
19-04-14;5.8
19-04-14;7.2
19-04-14;6.75
19-04-14;7
19-04-14;7.2
19-04-14;7
19-04-14;6.8
19-04-14;7.5
19-04-14;7.75
19-04-14;7.25
19-04-14;7.5
