"Date","mood"
"2014-03-30",7.2
"2014-03-30",7.6
"2014-03-31",7.4
"2014-03-31",7.2
"2014-03-31",7.4
"2014-03-31",6.8
"2014-03-31",7
"2014-03-31",4.33333333333333
"2014-03-31",7.6
"2014-03-31",7
"2014-03-31",6.4
"2014-03-31",7
"2014-03-31",6.75
"2014-03-31",7.2
"2014-03-31",6
"2014-03-31",7.25
"2014-03-31",7.2
"2014-03-31",7
"2014-03-31",7.5
"2014-03-31",7
"2014-03-31",6.5
"2014-03-31",7.6
"2014-04-01",6
"2014-04-01",7.4
"2014-04-01",7.6
"2014-04-01",7
"2014-04-01",7.75
"2014-04-01",6.6
"2014-04-01",7.2
"2014-04-01",7.6
"2014-04-01",6.4
"2014-04-01",7.5
"2014-04-01",6.2
"2014-04-01",7.2
"2014-04-01",5.8
"2014-04-01",7.4
"2014-04-01",6.4
"2014-04-01",6.25
"2014-04-01",7.5
"2014-04-01",6.6
"2014-04-01",7.5
"2014-04-01",7.8
"2014-04-01",8
"2014-04-02",6.5
"2014-04-02",6.4
"2014-04-02",7.4
"2014-04-02",7
"2014-04-02",6.8
"2014-04-02",5.5
"2014-04-02",6.6
"2014-04-02",6.2
"2014-04-02",6
"2014-04-02",7.4
"2014-04-02",7
"2014-04-02",7.2
"2014-04-02",6.4
"2014-04-02",7.5
"2014-04-02",7.6
"2014-04-02",6.5
"2014-04-02",7
"2014-04-02",6.4
"2014-04-02",6.8
"2014-04-02",8.5
"2014-04-02",7.6
"2014-04-02",6.66666666666667
"2014-04-02",7
"2014-04-03",6.4
"2014-04-03",5.75
"2014-04-03",7.8
"2014-04-03",7.2
"2014-04-03",7.2
"2014-04-03",6.2
"2014-04-03",7
"2014-04-03",7.6
"2014-04-03",5.4
"2014-04-03",7.6
"2014-04-03",7.33333333333333
"2014-04-03",7.2
"2014-04-03",6.25
"2014-04-03",7.2
"2014-04-03",6.6
"2014-04-03",6.66666666666667
"2014-04-03",7
"2014-04-03",6.8
"2014-04-03",7.4
"2014-04-03",8
"2014-04-03",7.25
"2014-04-03",8
"2014-04-03",6.6
"2014-04-03",8
"2014-04-04",6.2
"2014-04-04",6.4
"2014-04-04",7.8
"2014-04-04",7
"2014-04-04",7
"2014-04-04",6.5
"2014-04-04",7.5
"2014-04-04",7.25
"2014-04-04",6.5
"2014-04-04",7.8
"2014-04-04",7.5
"2014-04-04",7.2
"2014-04-04",6.2
"2014-04-04",7
"2014-04-04",7
"2014-04-04",7
"2014-04-04",7
"2014-04-04",6.75
"2014-04-04",7
"2014-04-04",5.75
"2014-04-04",8
"2014-04-04",7.8
"2014-04-04",6.8
"2014-04-04",8
"2014-04-05",6.8
"2014-04-05",7.4
"2014-04-05",7.6
"2014-04-05",7.5
"2014-04-05",7
"2014-04-05",6
"2014-04-05",7.4
"2014-04-05",7.5
"2014-04-05",6.2
"2014-04-05",6.8
"2014-04-05",7.4
"2014-04-05",7.8
"2014-04-05",7
"2014-04-05",7
"2014-04-05",8
"2014-04-05",7
"2014-04-05",6.5
"2014-04-05",8
"2014-04-05",7.4
"2014-04-05",7.6
"2014-04-05",8.2
"2014-04-05",8
"2014-04-05",7.4
"2014-04-05",8.4
"2014-04-06",6.5
"2014-04-06",4.5
"2014-04-06",6.8
"2014-04-06",6.8
"2014-04-06",7
"2014-04-06",6.75
"2014-04-06",7.6
"2014-04-06",6.8
"2014-04-06",6.25
"2014-04-06",6.25
"2014-04-06",7.4
"2014-04-06",6.2
"2014-04-06",6.75
"2014-04-06",7.25
"2014-04-06",7.25
"2014-04-06",7
"2014-04-06",7
"2014-04-06",6.75
"2014-04-06",7
"2014-04-06",7.2
"2014-04-06",7.75
"2014-04-06",8
"2014-04-06",6.6
"2014-04-06",7.6
"2014-04-07",6.5
"2014-04-07",6.8
"2014-04-07",7.4
"2014-04-07",6.75
"2014-04-07",6.2
"2014-04-07",5.4
"2014-04-07",7
"2014-04-07",6.2
"2014-04-07",6.4
"2014-04-07",7.4
"2014-04-07",7
"2014-04-07",6.8
"2014-04-07",7
"2014-04-07",7
"2014-04-07",6.6
"2014-04-07",6.8
"2014-04-07",5.75
"2014-04-07",6.75
"2014-04-07",7.6
"2014-04-07",8
"2014-04-07",7.2
"2014-04-07",7.6
"2014-04-07",6.6
"2014-04-07",7
"2014-04-08",6.6
"2014-04-08",6.25
"2014-04-08",7.4
"2014-04-08",6.75
"2014-04-08",6.6
"2014-04-08",6.8
"2014-04-08",6.5
"2014-04-08",7.2
"2014-04-08",6.25
"2014-04-08",8.2
"2014-04-08",6.8
"2014-04-08",6.8
"2014-04-08",6.4
"2014-04-08",7
"2014-04-08",6.8
"2014-04-08",7.25
"2014-04-08",6.6
"2014-04-08",8
"2014-04-08",6.4
"2014-04-08",7.6
"2014-04-08",7.8
"2014-04-08",7.8
"2014-04-08",7.8
"2014-04-08",7
"2014-04-08",7.8
"2014-04-09",7.4
"2014-04-09",7.25
"2014-04-09",7.8
"2014-04-09",7
"2014-04-09",7.4
"2014-04-09",6.4
"2014-04-09",6.25
"2014-04-09",6.5
"2014-04-09",5.25
"2014-04-09",7.8
"2014-04-09",8
"2014-04-09",7
"2014-04-09",7.2
"2014-04-09",7
"2014-04-09",7.2
"2014-04-09",7.75
"2014-04-09",7.2
"2014-04-09",7.4
"2014-04-09",6.4
"2014-04-09",7
"2014-04-09",7
"2014-04-09",7.6
"2014-04-09",7.75
"2014-04-09",7
"2014-04-09",7.33333333333333
"2014-04-10",7.4
"2014-04-10",7.25
"2014-04-10",7.4
"2014-04-10",7.2
"2014-04-10",7.6
"2014-04-10",6.2
"2014-04-10",7.6
"2014-04-10",6
"2014-04-10",6.4
"2014-04-10",7.6
"2014-04-10",6.66666666666667
"2014-04-10",7.2
"2014-04-10",6.6
"2014-04-10",6.75
"2014-04-10",6.75
"2014-04-10",7
"2014-04-10",7
"2014-04-10",6.5
"2014-04-10",6.6
"2014-04-10",7.4
"2014-04-10",7
"2014-04-10",8.6
"2014-04-10",8.2
"2014-04-10",7.2
"2014-04-10",8.25
"2014-04-11",7
"2014-04-11",6.5
"2014-04-11",7.6
"2014-04-11",7
"2014-04-11",7.8
"2014-04-11",3.5
"2014-04-11",7.6
"2014-04-11",6.8
"2014-04-11",6.6
"2014-04-11",6.8
"2014-04-11",7.75
"2014-04-11",7
"2014-04-11",7
"2014-04-11",7.2
"2014-04-11",6.8
"2014-04-11",7.5
"2014-04-11",7
"2014-04-11",7.75
"2014-04-11",6.6
"2014-04-11",5.8
"2014-04-11",7.4
"2014-04-11",7.2
"2014-04-11",7.66666666666667
"2014-04-11",7.8
"2014-04-11",7.66666666666667
"2014-04-12",7.25
"2014-04-12",6
"2014-04-12",7.66666666666667
"2014-04-12",7
"2014-04-12",8.2
"2014-04-12",6.4
"2014-04-12",7
"2014-04-12",7
"2014-04-12",6.8
"2014-04-12",6.8
"2014-04-12",7.5
"2014-04-12",7.4
"2014-04-12",7
"2014-04-12",7.2
"2014-04-12",7.2
"2014-04-12",6.8
"2014-04-12",7.75
"2014-04-12",7
"2014-04-12",7.75
"2014-04-12",7
"2014-04-12",7.8
"2014-04-12",8.25
"2014-04-12",7.8
"2014-04-12",7
"2014-04-12",8.6
"2014-04-13",8
"2014-04-13",7.2
"2014-04-13",7.4
"2014-04-13",7.5
"2014-04-13",6.5
"2014-04-13",6.5
"2014-04-13",7.6
"2014-04-13",6
"2014-04-13",5.6
"2014-04-13",6.6
"2014-04-13",7
"2014-04-13",6.4
"2014-04-13",7.2
"2014-04-13",7.2
"2014-04-13",6.8
"2014-04-13",7.2
"2014-04-13",6.6
"2014-04-13",7
"2014-04-13",8.75
"2014-04-13",7.2
"2014-04-13",8.2
"2014-04-13",7.2
"2014-04-13",6.8
"2014-04-13",8
"2014-04-14",7.2
"2014-04-14",8
"2014-04-14",7
"2014-04-14",6.4
"2014-04-14",7.25
"2014-04-14",6.2
"2014-04-14",6.6
"2014-04-14",5.8
"2014-04-14",6.6
"2014-04-14",6.8
"2014-04-14",7.5
"2014-04-14",7
"2014-04-14",7
"2014-04-14",7
"2014-04-14",7
"2014-04-14",6.8
"2014-04-14",8
"2014-04-14",6.4
"2014-04-14",7.4
"2014-04-14",7.6
"2014-04-14",6.8
"2014-04-14",8
"2014-04-14",7.75
"2014-04-14",6.2
"2014-04-14",7.5
"2014-04-15",6.4
"2014-04-15",7.25
"2014-04-15",7.6
"2014-04-15",7
"2014-04-15",7
"2014-04-15",6
"2014-04-15",6.4
"2014-04-15",6
"2014-04-15",6.8
"2014-04-15",6
"2014-04-15",6
"2014-04-15",7
"2014-04-15",6.6
"2014-04-15",7
"2014-04-15",6.4
"2014-04-15",6.8
"2014-04-15",7.25
"2014-04-15",7.6
"2014-04-15",6.5
"2014-04-15",6.8
"2014-04-15",7.2
"2014-04-15",6.8
"2014-04-15",8.25
"2014-04-15",7.6
"2014-04-15",7
"2014-04-15",8
"2014-04-16",7.2
"2014-04-16",6.66666666666667
"2014-04-16",8
"2014-04-16",7.2
"2014-04-16",7.6
"2014-04-16",4.75
"2014-04-16",6.6
"2014-04-16",5.5
"2014-04-16",7
"2014-04-16",6
"2014-04-16",6
"2014-04-16",7
"2014-04-16",7.25
"2014-04-16",7.2
"2014-04-16",6.8
"2014-04-16",7.2
"2014-04-16",7.4
"2014-04-16",7.4
"2014-04-16",7.2
"2014-04-16",6.8
"2014-04-16",7.8
"2014-04-16",6.2
"2014-04-16",7.8
"2014-04-16",8.4
"2014-04-16",6.75
"2014-04-16",8.5
"2014-04-16",7
"2014-04-17",6.6
"2014-04-17",6.5
"2014-04-17",7.25
"2014-04-17",6.6
"2014-04-17",6.8
"2014-04-17",3.8
"2014-04-17",6.2
"2014-04-17",7
"2014-04-17",6.8
"2014-04-17",6.4
"2014-04-17",6.2
"2014-04-17",6.4
"2014-04-17",7
"2014-04-17",7
"2014-04-17",6.8
"2014-04-17",6.4
"2014-04-17",7.4
"2014-04-17",6.75
"2014-04-17",6.5
"2014-04-17",6
"2014-04-17",7.6
"2014-04-17",7.8
"2014-04-17",7.6
"2014-04-17",7.6
"2014-04-17",7
"2014-04-17",8.5
"2014-04-17",7.2
"2014-04-18",6.8
"2014-04-18",6.5
"2014-04-18",7.5
"2014-04-18",7.5
"2014-04-18",6.25
"2014-04-18",5.2
"2014-04-18",6
"2014-04-18",6.6
"2014-04-18",6.6
"2014-04-18",3.5
"2014-04-18",6.5
"2014-04-18",6
"2014-04-18",6.8
"2014-04-18",7
"2014-04-18",6.8
"2014-04-18",6.75
"2014-04-18",7.6
"2014-04-18",7
"2014-04-18",6.25
"2014-04-18",7.2
"2014-04-18",8.6
"2014-04-18",5.8
"2014-04-18",8
"2014-04-18",7.4
"2014-04-18",6.8
"2014-04-18",7
"2014-04-18",7.4
"2014-04-19",7.8
"2014-04-19",5.66666666666667
"2014-04-19",7.8
"2014-04-19",7.2
"2014-04-19",6.8
"2014-04-19",7
"2014-04-19",7.8
"2014-04-19",8
"2014-04-19",5.8
"2014-04-19",7.2
"2014-04-19",6.75
"2014-04-19",7
"2014-04-19",7.2
"2014-04-19",7
"2014-04-19",6.8
"2014-04-19",7.5
"2014-04-19",7.75
"2014-04-19",7.25
"2014-04-19",7.5
"2014-04-19",8
"2014-04-19",7.5
"2014-04-19",6.75
"2014-04-19",7
"2014-04-19",7.8
"2014-04-19",7.8
"2014-04-19",7.66666666666667
"2014-04-20",7.25
"2014-04-20",5
"2014-04-20",7.5
"2014-04-20",7.2
"2014-04-20",8.2
"2014-04-20",3
"2014-04-20",6.4
"2014-04-20",6.25
"2014-04-20",6.4
"2014-04-20",6.6
"2014-04-20",7.5
"2014-04-20",7
"2014-04-20",7
"2014-04-20",7.2
"2014-04-20",7.6
"2014-04-20",7.6
"2014-04-20",7.75
"2014-04-20",7.8
"2014-04-20",6.8
"2014-04-20",8
"2014-04-20",7.2
"2014-04-20",7.8
"2014-04-20",7.5
"2014-04-20",7.75
"2014-04-20",8
"2014-04-20",7.4
"2014-04-21",7.6
"2014-04-21",5.5
"2014-04-21",7.4
"2014-04-21",7.2
"2014-04-21",7
"2014-04-21",6.6
"2014-04-21",6.4
"2014-04-21",6.5
"2014-04-21",6
"2014-04-21",7.4
"2014-04-21",7
"2014-04-21",7.2
"2014-04-21",7.25
"2014-04-21",7.4
"2014-04-21",6.4
"2014-04-21",7.4
"2014-04-21",7.2
"2014-04-21",7.5
"2014-04-21",7.4
"2014-04-21",6.4
"2014-04-21",6.8
"2014-04-21",8
"2014-04-21",7.2
"2014-04-21",7.8
"2014-04-21",6.4
"2014-04-21",7
"2014-04-21",7.2
"2014-04-22",7.4
"2014-04-22",5.66666666666667
"2014-04-22",7.6
"2014-04-22",7.2
"2014-04-22",6.6
"2014-04-22",6
"2014-04-22",6
"2014-04-22",6.6
"2014-04-22",6.5
"2014-04-22",5.75
"2014-04-22",7
"2014-04-22",7
"2014-04-22",6.6
"2014-04-22",6.6
"2014-04-22",6.8
"2014-04-22",6.4
"2014-04-22",6.2
"2014-04-22",7.2
"2014-04-22",8.25
"2014-04-22",7.25
"2014-04-22",7.8
"2014-04-22",7.25
"2014-04-22",6.4
"2014-04-22",8
"2014-04-22",7
"2014-04-22",6.2
"2014-04-23",7.6
"2014-04-23",5.5
"2014-04-23",7
"2014-04-23",7.2
"2014-04-23",7
"2014-04-23",6
"2014-04-23",5.6
"2014-04-23",6.33333333333333
"2014-04-23",5.8
"2014-04-23",7.4
"2014-04-23",7
"2014-04-23",7
"2014-04-23",7.25
"2014-04-23",7.25
"2014-04-23",6
"2014-04-23",7
"2014-04-23",7
"2014-04-23",7.5
"2014-04-23",6.5
"2014-04-23",6.2
"2014-04-23",8
"2014-04-23",7
"2014-04-23",7.6
"2014-04-23",7.6
"2014-04-23",7
"2014-04-23",7
"2014-04-23",5.2
"2014-04-24",7.6
"2014-04-24",7
"2014-04-24",7.4
"2014-04-24",7.2
"2014-04-24",7.75
"2014-04-24",5.6
"2014-04-24",6.66666666666667
"2014-04-24",7.2
"2014-04-24",6.6
"2014-04-24",7.66666666666667
"2014-04-24",7.33333333333333
"2014-04-24",7
"2014-04-24",5.4
"2014-04-24",7.2
"2014-04-24",6.6
"2014-04-24",7
"2014-04-24",7.4
"2014-04-24",6.8
"2014-04-24",6
"2014-04-24",5.8
"2014-04-24",7.6
"2014-04-24",8
"2014-04-24",7.8
"2014-04-24",8.2
"2014-04-24",6.5
"2014-04-24",8
"2014-04-24",7
"2014-04-25",7.2
"2014-04-25",9
"2014-04-25",7.5
"2014-04-25",7.2
"2014-04-25",6.4
"2014-04-25",3.33333333333333
"2014-04-25",6.33333333333333
"2014-04-25",7.25
"2014-04-25",5.6
"2014-04-25",7.75
"2014-04-25",8
"2014-04-25",7
"2014-04-25",7.2
"2014-04-25",7.2
"2014-04-25",7.25
"2014-04-25",7
"2014-04-25",7.8
"2014-04-25",6.2
"2014-04-25",6.25
"2014-04-25",6.6
"2014-04-25",7.6
"2014-04-25",7
"2014-04-25",7.5
"2014-04-25",7.5
"2014-04-25",7
"2014-04-25",8
"2014-04-25",8.4
"2014-04-26",7.6
"2014-04-26",7.5
"2014-04-26",7.8
"2014-04-26",7.5
"2014-04-26",5.4
"2014-04-26",6
"2014-04-26",8
"2014-04-26",7
"2014-04-26",8.8
"2014-04-26",8
"2014-04-26",6.2
"2014-04-26",6.75
"2014-04-26",8
"2014-04-26",7.75
"2014-04-26",7
"2014-04-26",7.5
"2014-04-26",7.6
"2014-04-26",7
"2014-04-26",8
"2014-04-26",9.33333333333333
"2014-04-26",8
"2014-04-26",6
"2014-04-26",7.8
"2014-04-26",7
"2014-04-26",7.6
"2014-04-27",7.5
"2014-04-27",7.6
"2014-04-27",7.4
"2014-04-27",7.2
"2014-04-27",6
"2014-04-27",6
"2014-04-27",6.25
"2014-04-27",6
"2014-04-27",8
"2014-04-27",7.66666666666667
"2014-04-27",7
"2014-04-27",7.2
"2014-04-27",7.2
"2014-04-27",6.33333333333333
"2014-04-27",6.8
"2014-04-27",7
"2014-04-27",7
"2014-04-27",7.4
"2014-04-27",7.8
"2014-04-27",8
"2014-04-27",7.25
"2014-04-27",6.5
"2014-04-27",7.8
"2014-04-27",7.4
"2014-04-27",7
"2014-04-27",6.2
"2014-04-28",7.6
"2014-04-28",7
"2014-04-28",7
"2014-04-28",6.75
"2014-04-28",6.75
"2014-04-28",5.8
"2014-04-28",6.6
"2014-04-28",6.6
"2014-04-28",8.16666666666667
"2014-04-28",7
"2014-04-28",8
"2014-04-28",6.75
"2014-04-28",6.4
"2014-04-28",6.8
"2014-04-28",7.6
"2014-04-28",6.8
"2014-04-28",7.2
"2014-04-28",8
"2014-04-28",7.8
"2014-04-28",7.5
"2014-04-28",7
"2014-04-28",8
"2014-04-28",6.8
"2014-04-28",7.5
"2014-04-28",6.75
"2014-04-29",7
"2014-04-29",7.2
"2014-04-29",6.8
"2014-04-29",7.25
"2014-04-29",5
"2014-04-29",5.75
"2014-04-29",6.75
"2014-04-29",6
"2014-04-29",8.5
"2014-04-29",7
"2014-04-29",7
"2014-04-29",7
"2014-04-29",7.2
"2014-04-29",7.25
"2014-04-29",7.4
"2014-04-29",6
"2014-04-29",6
"2014-04-29",6.6
"2014-04-29",7.2
"2014-04-29",7
"2014-04-29",7.6
"2014-04-29",8
"2014-04-29",7
"2014-04-29",8
"2014-04-29",6.2
"2014-04-30",7.8
"2014-04-30",7
"2014-04-30",7
"2014-04-30",6.8
"2014-04-30",5
"2014-04-30",6.66666666666667
"2014-04-30",7
"2014-04-30",6.25
"2014-04-30",7.83333333333333
"2014-04-30",7
"2014-04-30",6
"2014-04-30",7
"2014-04-30",7
"2014-04-30",7
"2014-04-30",7
"2014-04-30",9
"2014-04-30",6.33333333333333
"2014-04-30",6.2
"2014-04-30",6.2
"2014-04-30",6.6
"2014-04-30",6.2
"2014-04-30",7.8
"2014-04-30",7.8
"2014-04-30",7
"2014-04-30",7
"2014-04-30",6.4
"2014-05-01",8
"2014-05-01",7.2
"2014-05-01",6.8
"2014-05-01",8
"2014-05-01",5
"2014-05-01",7
"2014-05-01",7.5
"2014-05-01",6.2
"2014-05-01",8.33333333333333
"2014-05-01",6
"2014-05-01",6.6
"2014-05-01",7
"2014-05-01",8
"2014-05-01",6.8
"2014-05-01",7
"2014-05-01",7.4
"2014-05-01",7
"2014-05-01",6.8
"2014-05-01",7.6
"2014-05-01",6.4
"2014-05-01",7.6
"2014-05-01",8.2
"2014-05-01",7
"2014-05-01",7
"2014-05-01",7
"2014-05-02",7.6
"2014-05-02",7.6
"2014-05-02",7
"2014-05-02",7.2
"2014-05-02",6.2
"2014-05-02",7.2
"2014-05-02",7.6
"2014-05-02",5.5
"2014-05-02",8
"2014-05-02",6.66666666666667
"2014-05-02",7
"2014-05-02",8
"2014-05-02",7
"2014-05-02",7.8
"2014-05-02",7.2
"2014-05-02",7
"2014-05-02",6.5
"2014-05-02",7.2
"2014-05-02",7.2
"2014-05-02",6.8
"2014-05-02",8
"2014-05-02",7
"2014-05-02",7.25
"2014-05-03",8
"2014-05-03",7.75
"2014-05-03",6.75
"2014-05-03",6.25
"2014-05-03",5.66666666666667
"2014-05-03",7.4
"2014-05-03",7.75
"2014-05-03",5.6
"2014-05-03",7.25
"2014-05-03",6.8
"2014-05-03",6.8
"2014-05-03",7.25
"2014-05-03",7.4
"2014-05-03",6.75
"2014-05-03",6.83333333333333
"2014-05-03",6.4
"2014-05-03",7.8
"2014-05-03",6.4
"2014-05-03",7.4
"2014-05-03",8
"2014-05-03",7.8
"2014-05-03",7.4
"2014-05-03",7.5
"2014-05-04",8
"2014-05-04",7.4
"2014-05-04",7
"2014-05-04",7.6
"2014-05-04",8
"2014-05-04",6.8
"2014-05-04",6.6
"2014-05-04",4.8
"2014-05-04",8
"2014-05-04",6.8
"2014-05-04",7
"2014-05-04",7
